Language,Dropped Gopher Above Avg Threshold Ratio,Dropped Gopher Above Avg Threshold Count,Dropped Gopher Below Avg Threshold Ratio,Dropped Gopher Below Avg Threshold Count,Dropped Stopwords Threshold Ratio,Dropped Stopwords Threshold Count,Dropped Alpha Ratio,Dropped Alpha Count,Dropped List Threshold Ratio,Dropped List Threshold Count,Total Processed,Total Processed (Quality filter),Dropped Total Ratio,Dropped Total Count,Total Retained Count,Total Retained Ratio
en,0.09686965202509983,2717,0.0001782658300057045,5,0.1418282943525385,3978,0.13715772960638906,3847,0.5899452324111782,12603,100000,49411,0.5676468802493372,28048,8760,0.0876
es,0.020654715510522212,318,0.0,0,0.022733177448687972,350,0.07449987009612886,1147,0.04523508635494637,2792,100000,77118,0.1996421069011126,15396,58930,0.5893
pt,0.04859228362877998,699,0.0004171011470281543,6,0.014529023288147376,209,0.07799791449426485,1122,0.054260183883529656,3358,100000,76272,0.1886013215859031,14385,58529,0.58529
it,0.03455882352941177,517,0.0,0,0.027673796791443852,414,0.03295454545454545,493,0.05437506101330904,3342,100000,76422,0.19575514904085212,14960,58120,0.5812
fr,0.0326930415977611,514,0.00012721027859051011,2,0.013865920366365603,218,0.1348428953059407,2120,0.059027428915904755,3525,100000,75440,0.20840402969247085,15722,56193,0.56193
ro,0.012211367673179397,165,0.0,0,0.018058022498519833,244,0.08370337477797514,1131,0.05626751182766065,3675,99960,78825,0.1714176974310181,13512,61638,0.6166266506602641
de,0.023022914058673054,423,0.0,0,0.057584498993087686,1058,0.12763293963968866,2345,0.0493946987611619,2799,100000,75039,0.24484601340636203,18373,53867,0.53867
la,0.000714424887965188,11,0.0,0,0.20361109307007857,3135,0.002338117815158797,36,0.0028508524331037595,101,99896,50825,0.3029414658140679,15397,35327,0.3536377832946264
cs,0.020551617322928456,345,5.95699052838506e-05,1,0.09763507476023113,1639,0.059986894620837554,1007,0.08283911454382456,4805,99980,74791,0.22445213996336458,16787,53199,0.5320964192838568
da,0.01942913663981913,275,0.000211954217888936,3,0.03829306203193444,542,0.03271160096085912,463,0.06964956600595933,4301,99960,75906,0.18646747292704133,14154,57451,0.5747398959583834
fi,0.01303600420208194,273,0.00038200744914525833,8,0.13255658485340463,2776,0.04373985292713208,916,0.06546407298499585,3473,99940,73994,0.28302294780657894,20942,49579,0.4960876525915549
el,0.017165134411730478,295,0.00011637379262190155,2,0.07133713487722565,1226,0.09810310718026301,1686,0.05700441290992472,3294,99960,74971,0.2292353043176695,17186,54491,0.5451280512204882
