iso,doc_counts,language
zh,105667193.7,Mandarin Chinese
es,131831636.4,Spanish
en,290599875.9,English
hi,5089105.8,Hindi
pt,32265901.8,Portuguese
bn,2912950.8000000003,Bengali
ru,159336837.0,Russian
ja,134833698.0,Japanese
vi,26147359.8,Vietnamese
tr,21606838.2,Turkish
te,510355.8,Telugu
mr,674591.4,Marathi
ko,17930451.6,Korean
fr,135373724.1,French
ta,1200265.2,Tamil
ar,16956593.099999998,Egyptian Arabic
de,176313709.8,Standard German
ur,806859.0,Urdu
it,79698222.0,Italian
fa,20098048.5,Iranian Persian
gu,388877.4,Gujarati
ha,,Hausa
bh,2331.0,Bhojpuri
pa,189243.9,Eastern Punjabi
yo,9457.2,Yoruba
kn,387512.1,Kannada
id,21609935.1,Indonesian
am,126673.2,Amharic
tl,332067.6,Tagalog
th,11248740.0,Thai
sw,202996.8,Swahili
jv,40126.5,Javanese
nl,63735434.1,Dutch
pl,46485301.5,Polish
cs,31133801.7,Czech
sv,21177035.1,Swedish
hu,17713768.5,Hungarian
el,15826557.6,Greek
ro,13265454.6,Romanian
da,12436351.2,Danish
fi,11652402.6,Finnish
uk,10771051.5,Ukrainian
sk,10323399.6,Slovak
no,10068321.6,Norwegian
bg,7857734.4,Bulgarian
ca,6401625.300000001,Catalan
hr,5857170.300000001,Croatian
la,5706887.4,Latin
sr,5210717.4,Serbian
sl,4753208.699999999,Slovenian
lt,4443885.0,Lithuanian
