Language,Dropped Gopher Above Avg Threshold Ratio,Dropped Gopher Above Avg Threshold Count,Dropped Gopher Below Avg Threshold Ratio,Dropped Gopher Below Avg Threshold Count,Dropped Stopwords Threshold Ratio,Dropped Stopwords Threshold Count,Dropped Alpha Ratio,Dropped Alpha Count,Dropped List Threshold Ratio,Dropped List Threshold Count,Total Processed,Total Processed (Quality filter),Dropped Total Ratio,Dropped Total Count,Total Retained Count,Total Retained Ratio
en,0.09686965202509983,2717,0.0001782658300057045,5,0.1418282943525385,3978,0.13715772960638906,3847,0.5899452324111782,12603,100000,49411,0.5676468802493372,28048,8760,0.0876
es,0.020664110728442393,318,0.0,0,0.022743518097342257,350,0.07453375787900449,1147,0.04523435348249437,2792,100000,77112,0.19956686378255006,15389,58931,0.58931
pt,0.048578775453471404,699,0.0004169851970255056,6,0.014455486830217527,208,0.07804572937660713,1123,0.05427634236592499,3359,100000,76276,0.18864387225339557,14389,58528,0.58528
it,0.034544968595483096,517,0.0,0,0.02766270212481625,414,0.03294133368969664,493,0.054377715224784004,3342,100000,76425,0.19582597317631664,14966,58117,0.58117
fr,0.03271384928716904,514,0.00012729124236252545,2,0.013874745417515275,218,0.134928716904277,2120,0.059024463756467575,3525,100000,75433,0.20829080110826825,15712,56196,0.56196
ro,0.003944039291561245,53,0.0,0,0.02046435481470457,275,0.09071290370590862,1219,0.05544327055581075,3621,99960,78748,0.17064560369787168,13438,61689,0.6171368547418967
de,0.02298663188783828,423,0.0,0,0.057493750679273994,1058,0.12721443321378112,2341,0.04936637368068057,2797,100000,75060,0.2451638689048761,18402,53861,0.53861
la,0.0001955671447196871,3,0.0,0,0.20052151238591917,3076,0.004432855280312908,68,0.003610515626762947,128,99896,50792,0.30201606552212945,15340,35324,0.3536077520621446
cs,0.020661901615712654,344,6.006366748753679e-05,1,0.08973511922637996,1494,0.060484113159949546,1007,0.08355693154454764,4858,99980,74789,0.22261295110243484,16649,53282,0.5329265853170634
da,0.01940172146183152,275,0.00021165514321998025,3,0.03823902920840976,542,0.032524340341470295,461,0.06959267956919589,4297,99960,75919,0.18669898180956018,14174,57448,0.5747098839535815
fi,0.01165819703634112,273,0.00034163214758508773,8,0.22436691292650637,5254,0.03911688089849255,916,0.052879291251384276,2674,99940,73985,0.3165101033993377,23417,47894,0.47922753652191313
el,0.017130247953080543,295,0.00011613727425817315,2,0.07113408048313107,1225,0.09796179083676906,1687,0.05694208868427429,3290,99960,74999,0.22961639488526514,17221,54488,0.5450980392156862
no,0.024097889873891873,386,0.0,0,0.03208889998751405,514,0.05294044200274691,848,0.07728688237939016,4641,99940,76067,0.21057751718879408,16018,55408,0.5544126475885531
pl,0.009979795506030736,163,0.0,0,0.06649115288067103,1086,0.0418171799424478,683,0.06207285515227921,3742,100000,76617,0.21317723220695145,16333,56542,0.56542
ru,0.015458177769044344,236,0.00019650225977598743,3,0.08737800484705574,1334,0.0947795899652846,1447,0.07949384642052348,4586,100000,72957,0.20926024918787778,15267,53104,0.53104
sl,0.017037766022881044,277,0.0007996063476442367,13,0.06901217861975643,1122,0.05726411612744495,931,0.061335794596408796,3655,99860,75848,0.21434975213585064,16258,55935,0.5601341878630082
sv,0.01842835130970724,299,6.163328197226502e-05,1,0.03704160246533128,601,0.10816640986132511,1755,0.05308498253783469,3192,99980,76355,0.21249427018531858,16225,56938,0.569493898779756
tr,0.008842086554696526,199,0.00013329778725673153,3,0.29432151426286324,6624,0.016484493024082468,371,0.04338406947427398,2323,99980,76051,0.2959329923340916,22506,51222,0.5123224644928985
nl,0.01909158971799351,306,0.0,0,0.03369104067881208,540,0.10294484651859247,1650,0.06650330801274197,4071,100000,77243,0.20750100332716234,16028,57144,0.57144
zh,0.24434057373293008,2666,0.0,0,0.31280359270461,3413,0.015214004215928879,166,0.08253358925143954,3569,100000,54154,0.20148096170181334,10911,39674,0.39674
ja,0.36161646286907245,2425,0.0,0,0.028183716075156576,189,0.1917685654637638,1286,0.034624280078000995,1527,100000,50808,0.1319870886474571,6706,42575,0.42575
vi,0.03902984635309354,663,0.0,0,0.19832813327838936,3369,0.0868311061399894,1475,0.026227458207187047,1594,99980,77763,0.21844579041446446,16987,59182,0.5919383876775355
fa,0.005966399748783168,76,0.0001570105197048202,2,0.031166588161406814,397,0.1459412780656304,1859,0.06339662102545668,3880,99980,73940,0.17227481741952935,12738,57322,0.5733346669333866
ko,0.05593540203570213,3616,0.000185626334189277,12,0.619914611886273,40075,0.1256999659685054,8126,0.001684068710003368,10,99980,70584,0.9158732857304772,64646,5928,0.05929185837167433
th,0.07297449513235175,907,0.0,0,0.09630702389572773,1197,0.21578566256335988,2682,0.04400946597934362,2399,99960,66940,0.18567373767553033,12429,52112,0.5213285314125651
hi,0.02085711320950503,201,0.00020753346477119436,2,0.049808031545086645,480,0.10625713396285151,1024,0.024994405281414344,1787,99864,81133,0.11878027436431539,9637,69709,0.6980393334935512
bn,0.002868143957252868,73,0.0003143171460003143,8,0.5971239981140971,15198,0.037914505736287914,965,0.018000068117570926,1057,99771,84174,0.3023736545726709,25452,57665,0.5779735594511431
hu,0.00451002500122555,92,0.0012255502720721603,25,0.09039658806804256,1844,0.08814157556742977,1798,0.06539283171136957,3306,99980,70955,0.287492072440279,20399,47250,0.47259451890378074
uk,0.007397444519166106,99,0.0013449899125756557,18,0.16491070761413734,2207,0.09713816035268624,1300,0.06652573588289933,4154,99940,75825,0.17649851632047478,13383,58288,0.5832299379627777
sk,0.003740733183704006,55,0.0,0,0.09311024960892335,1369,0.047405291437121674,697,0.06448178721174004,3937,99940,75759,0.1940759513721142,14703,57119,0.5715329197518512
bg,0.001623502126014689,21,0.0,0,0.013683803633552377,177,0.07630459992269037,987,0.06464191738262055,4078,99920,76021,0.17015035319188118,12935,59008,0.5905524419535628
ca,0.010407802579040388,159,0.0,0,0.006938535052693592,106,0.11245663415592067,1718,0.07099758973778288,4389,99880,77096,0.198155546331846,15277,57430,0.5749899879855827
hr,0.0071974019134556306,82,0.0,0,0.055560431844114806,633,0.04441323619766523,506,0.057761104251749136,3649,99900,74567,0.15278876714900694,11393,59525,0.5958458458458459
sr,0.00249199564689368,158,6.308849738971342e-05,4,0.7446177625664401,47211,0.04036086620506916,2559,0.08583921964345778,1276,99880,78268,0.8100756375530229,63403,13589,0.13605326391670003
lt,0.0038047512991833707,82,0.0,0,0.20151262063845582,4343,0.045749814402375646,986,0.0619450675815786,3286,99840,74599,0.28890467700639416,21552,49761,0.49840745192307695
et,0.011636754240701786,260,0.0008951349415924451,20,0.1928568231660923,4309,0.04981425949961957,1113,0.0836084516342027,4052,99820,70807,0.31554789780671405,22343,44412,0.44492085754357846
lv,0.01665364328970502,341,4.883766360617308e-05,1,0.2011623363938269,4119,0.06290291072475093,1288,0.08322615519394583,4465,99699,74125,0.2762360876897133,20476,49184,0.4933249079729987
sh,0.00641241984475194,152,0.0,0,0.0715912926088424,1697,0.1295561930475869,3071,0.07160442743353677,3461,99504,72039,0.3290439900609392,23704,44874,0.4509768451519537
sq,0.00995732574679943,112,0.0002667140825035562,3,0.010846372688477952,122,0.11130867709815079,1252,0.037611750563070846,2722,99489,83619,0.13451488298114064,11248,69649,0.7000673441284966
az,0.01143468709513885,203,0.0009575846335830564,17,0.3040612854165493,5398,0.06179237312003605,1097,0.05395141648506602,3367,99561,80161,0.22146679806888636,17753,59041,0.5930133285121684
